review,sentiment
"The product was fantastic and exceeded my expectations.","positive"
"I had a terrible experience with the customer service.","negative"
"Fast delivery and the item was exactly as described.","positive"
"Not worth the money, very disappointing.","negative"
"The quality is okay, but it could be improved.","neutral"
"I absolutely loved the design and functionality.","positive"
"The item arrived damaged and the return process was complicated.","negative"
"Service was satisfactory, nothing special.","neutral"
"Great value for the price, would definitely recommend.","positive"
"Received the wrong item and had trouble getting it fixed.","negative"
